lat,lon360,lon180,pixelkm2
32.5,241.57,-118.43,21.09857709
32.5,241.615,-118.385,21.09857709
32.5,241.66,-118.34,21.09857709
32.5,241.705,-118.295,21.09857709
32.5,241.75,-118.25,21.09857709
32.5,241.795,-118.205,21.09857709
32.5,241.84,-118.16,21.09857709
32.5,241.885,-118.115,21.09857709
32.5,241.93,-118.07,21.09857709
32.5,241.975,-118.025,21.09857709
32.545,235,-125,21.08820619
32.545,235.045,-124.955,21.08820619
32.545,235.09,-124.91,21.08820619
32.545,235.135,-124.865,21.08820619
32.545,235.18,-124.82,21.08820619
32.545,235.225,-124.775,21.08820619
32.545,235.27,-124.73,21.08820619
32.545,235.315,-124.685,21.08820619
32.545,235.36,-124.64,21.08820619
32.545,235.405,-124.595,21.08820619
32.545,235.45,-124.55,21.08820619
32.545,235.495,-124.505,21.08820619
32.545,235.54,-124.46,21.08820619
32.545,235.585,-124.415,21.08820619
32.545,235.63,-124.37,21.08820619
32.545,235.675,-124.325,21.08820619
32.545,235.72,-124.28,21.08820619
32.545,235.765,-124.235,21.08820619
32.545,235.81,-124.19,21.08820619
32.545,235.855,-124.145,21.08820619
32.545,235.9,-124.1,21.08820619
32.545,235.945,-124.055,21.08820619
32.545,235.99,-124.01,21.08820619
32.545,236.035,-123.965,21.08820619
32.545,236.08,-123.92,21.08820619
32.545,236.125,-123.875,21.08820619
32.545,236.17,-123.83,21.08820619
32.545,236.215,-123.785,21.08820619
32.545,236.26,-123.74,21.08820619
32.545,236.305,-123.695,21.08820619
32.545,236.35,-123.65,21.08820619
32.545,236.395,-123.605,21.08820619
32.545,236.44,-123.56,21.08820619
32.545,236.485,-123.515,21.08820619
32.545,236.53,-123.47,21.08820619
32.545,236.575,-123.425,21.08820619
32.545,236.62,-123.38,21.08820619
32.545,236.665,-123.335,21.08820619
32.545,236.71,-123.29,21.08820619
32.545,236.755,-123.245,21.08820619
32.545,236.8,-123.2,21.08820619
32.545,236.845,-123.155,21.08820619
32.545,236.89,-123.11,21.08820619
32.545,236.935,-123.065,21.08820619
32.545,236.98,-123.02,21.08820619
32.545,237.025,-122.975,21.08820619
32.545,237.07,-122.93,21.08820619
32.545,237.115,-122.885,21.08820619
32.545,237.16,-122.84,21.08820619
32.545,237.205,-122.795,21.08820619
32.545,237.25,-122.75,21.08820619
32.545,237.295,-122.705,21.08820619
32.545,237.34,-122.66,21.08820619
32.545,237.385,-122.615,21.08820619
32.545,237.43,-122.57,21.08820619
32.545,237.475,-122.525,21.08820619
32.545,237.52,-122.48,21.08820619
32.545,237.565,-122.435,21.08820619
32.545,237.61,-122.39,21.08820619
32.545,237.655,-122.345,21.08820619
32.545,237.7,-122.3,21.08820619
32.545,237.745,-122.255,21.08820619
32.545,237.79,-122.21,21.08820619
32.545,237.835,-122.165,21.08820619
32.545,237.88,-122.12,21.08820619
32.545,237.925,-122.075,21.08820619
32.545,237.97,-122.03,21.08820619
32.545,238.015,-121.985,21.08820619
32.545,238.06,-121.94,21.08820619
32.545,238.105,-121.895,21.08820619
32.545,238.15,-121.85,21.08820619
32.545,238.195,-121.805,21.08820619
32.545,238.24,-121.76,21.08820619
32.545,238.285,-121.715,21.08820619
32.545,238.33,-121.67,21.08820619
32.545,238.375,-121.625,21.08820619
32.545,238.42,-121.58,21.08820619
32.545,238.465,-121.535,21.08820619
32.545,238.51,-121.49,21.08820619
32.545,238.555,-121.445,21.08820619
32.545,238.6,-121.4,21.08820619
32.545,238.645,-121.355,21.08820619
32.545,238.69,-121.31,21.08820619
32.545,238.735,-121.265,21.08820619
32.545,238.78,-121.22,21.08820619
32.545,238.825,-121.175,21.08820619
32.545,238.87,-121.13,21.08820619
32.545,238.915,-121.085,21.08820619
32.545,238.96,-121.04,21.08820619
32.545,239.005,-120.995,21.08820619
32.545,239.05,-120.95,21.08820619
32.545,239.095,-120.905,21.08820619
32.545,239.14,-120.86,21.08820619
32.545,239.185,-120.815,21.08820619
32.545,239.23,-120.77,21.08820619
32.545,239.275,-120.725,21.08820619
32.545,239.32,-120.68,21.08820619
32.545,239.365,-120.635,21.08820619
32.545,239.41,-120.59,21.08820619
32.545,239.455,-120.545,21.08820619
32.545,239.5,-120.5,21.08820619
32.545,239.545,-120.455,21.08820619
32.545,239.59,-120.41,21.08820619
32.545,239.635,-120.365,21.08820619
32.545,239.68,-120.32,21.08820619
32.545,239.725,-120.275,21.08820619
32.545,239.77,-120.23,21.08820619
32.545,239.815,-120.185,21.08820619
32.545,239.86,-120.14,21.08820619
32.545,239.905,-120.095,21.08820619
32.545,239.95,-120.05,21.08820619
32.545,239.995,-120.005,21.08820619
32.545,240.04,-119.96,21.08820619
32.545,240.085,-119.915,21.08820619
32.545,240.13,-119.87,21.08820619
32.545,240.175,-119.825,21.08820619
32.545,240.22,-119.78,21.08820619
32.545,240.265,-119.735,21.08820619
32.545,240.31,-119.69,21.08820619
32.545,240.355,-119.645,21.08820619
32.545,240.4,-119.6,21.08820619
